TimeStamp,Station.Number,Temperature
2002-12,657,11.148
2003-01,2,9.596363636
2003-01,3,9.577692308
2003-01,4,9.612105263
2003-01,5,9.516666667
2003-01,6,9.525
2003-01,7,9.618
2003-01,8,9.926875
2003-01,9,10.2969697
2003-01,10,10.1
2003-01,11,10.57066667
2003-01,12,10.66
2003-01,13,11.081
2003-01,14,11.27
2003-01,15,11.64
2003-01,16,11.44
2003-01,17,11.58307692
2003-01,18,12.19022727
2003-01,20,11.75923077
2003-01,21,11.54375
2003-01,22,11.54473684
2003-01,23,11.45
2003-01,24,11.42444444
2003-01,25,11.39875
2003-01,26,11.273
2003-01,27,11.27636364
2003-01,28,11.28
2003-01,29,11.412
2003-01,29.5,11.44357143
2003-01,30,11.38083333
2003-01,31,11.56461538
2003-01,32,11.59555556
2003-01,33,11.5675
2003-01,34,11.38666667
2003-01,36,11.574
2003-01,649,9.789090909
2003-01,657,9.827272727
2003-02,2,10.90818182
2003-02,3,10.92307692
2003-02,4,10.99235294
2003-02,5,11.05181818
2003-02,6,11.12416667
2003-02,7,11.41466667
2003-02,8,11.625625
2003-02,9,11.81766667
2003-02,10,11.88368421
2003-02,11,12.01944444
2003-02,12,12.24111111
2003-02,13,12.395
